data;

set V := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 37 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 55 56 57 58 59 60 61 62 63 64 66 67 68 69 70 71;

set A := 1 15
         1 37
         2 31
         3 13
         3 39
         4 15
         4 40
         5 28
         5 41
         6 31
         6 42
         7 14
         7 43
         8 44
         9 28
         9 45
         10 30
         10 46
         11 30
         11 47
         12 30
         12 48
         13 3
         13 32
         13 33
         13 49
         14 7
         14 27
         14 33
         14 50
         15 1
         15 4
         15 31
         15 32
         15 51
         16 30
         16 52
         17 30
         17 53
         18 28
         19 28
         19 55
         20 56
         21 28
         21 57
         22 30
         22 58
         23 30
         23 59
         24 60
         25 29
         25 61
         26 29
         26 32
         26 62
         27 63
         28 5
         28 8
         28 9
         28 19
         28 20
         28 21
         28 35
         28 64
         29 24
         29 25
         29 26
         30 10
         30 11
         30 12
         30 16
         30 17
         30 22
         30 23
         30 34
         30 66
         31 6
         31 15
         31 34
         31 67
         32 13
         32 15
         32 26
         32 68
         33 13
         33 14
         33 35
         33 69
         34 30
         34 31
         34 70
         35 28
         35 33
         35 71
         ;

set S := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 241 242 243 244 245 246 247 248 249 250 251 252 253 254 255 256 257 258 259 260 261 262 263 264 265 266 267 268 269 270 271 272 273 274 275 276 277 278 279 280 281 282 283 284 285 286 287 288 289 290 291 292 293 294 295 296 297 298 299 300 301 302 303 304 305 306 307 308 309 310 311 312 313 314 315 316 317 318 319 320 321 322 323 324 325 326 327 328 329 330 331 332 333 334 335 336 337 338 339 340 341 342 343 344 345 346 347 348 349 350 351 352 353 354 355 356 357 358 359 360 361 362 363 364 365 366 367 368 369 370 371 372 373 374 375 376 377 378 379 380 381 382 383 384 385 386 387 388 389 390 391 392 393 394 395 396 397 398 399 400 401 402 403 404 405 406 407 408 409 410 411 412 413 414 415 416 417 418 419 420 421 422 423 424 425 426 427 428 429 430 431 432 433 434 435 436 437 438 439 440 441 442 443 444 445 446 447 448 449 450 451 452 453 454 455 456 457 458 459 460 461 462 463 464 465 466 467 468 469 470 471 472 473 474 475 476 477;

set F[1] := 1 15
            15 32
            32 13
            13 49
            ;
set F[2] := 1 15
            15 32
            32 13
            13 33
            33 14
            14 50
            ;
set F[3] := 1 15
            15 51
            ;
set F[4] := 1 15
            15 31
            31 34
            34 30
            30 17
            17 53
            ;
set F[5] := 1 15
            15 31
            31 34
            34 30
            30 23
            23 59
            ;
set F[6] := 1 15
            15 32
            32 26
            26 29
            29 25
            25 61
            ;
set F[7] := 1 15
            15 32
            32 26
            26 62
            ;
set F[8] := 1 15
            15 32
            32 13
            13 33
            33 35
            35 28
            28 64
            ;
set F[9] := 1 15
            15 31
            31 34
            34 30
            30 66
            ;
set F[10] := 1 15
             15 31
             31 67
             ;
set F[11] := 1 15
             15 32
             32 68
             ;
set F[12] := 1 15
             15 32
             32 13
             13 33
             33 69
             ;
set F[13] := 1 15
             15 31
             31 34
             34 70
             ;
set F[14] := 2 31
             31 15
             15 32
             32 13
             13 49
             ;
set F[15] := 2 31
             31 15
             15 32
             32 13
             13 33
             33 14
             14 50
             ;
set F[16] := 2 31
             31 15
             15 51
             ;
set F[17] := 2 31
             31 34
             34 30
             30 17
             17 53
             ;
set F[18] := 2 31
             31 15
             15 32
             32 26
             26 29
             29 25
             25 61
             ;
set F[19] := 2 31
             31 15
             15 32
             32 26
             26 62
             ;
set F[20] := 2 31
             31 15
             15 32
             32 13
             13 33
             33 35
             35 28
             28 64
             ;
set F[21] := 2 31
             31 34
             34 30
             30 66
             ;
set F[22] := 2 31
             31 67
             ;
set F[23] := 2 31
             31 15
             15 32
             32 68
             ;
set F[24] := 2 31
             31 15
             15 32
             32 13
             13 33
             33 69
             ;
set F[25] := 2 31
             31 34
             34 70
             ;
set F[26] := 3 13
             13 49
             ;
set F[27] := 3 13
             13 32
             32 15
             15 51
             ;
set F[28] := 3 13
             13 33
             33 35
             35 28
             28 64
             ;
set F[29] := 3 13
             13 32
             32 15
             15 31
             31 67
             ;
set F[30] := 3 13
             13 32
             32 68
             ;
set F[31] := 3 13
             13 33
             33 69
             ;
set F[32] := 4 15
             15 1
             1 37
             ;
set F[33] := 4 15
             15 32
             32 13
             13 33
             33 35
             35 28
             28 8
             8 44
             ;
set F[34] := 4 15
             15 32
             32 13
             13 49
             ;
set F[35] := 4 15
             15 32
             32 13
             13 33
             33 14
             14 50
             ;
set F[36] := 4 15
             15 51
             ;
set F[37] := 4 15
             15 31
             31 34
             34 30
             30 17
             17 53
             ;
set F[38] := 4 15
             15 32
             32 13
             13 33
             33 35
             35 28
             28 19
             19 55
             ;
set F[39] := 4 15
             15 31
             31 34
             34 30
             30 23
             23 59
             ;
set F[40] := 4 15
             15 32
             32 26
             26 29
             29 25
             25 61
             ;
set F[41] := 4 15
             15 32
             32 26
             26 62
             ;
set F[42] := 4 15
             15 32
             32 13
             13 33
             33 35
             35 28
             28 64
             ;
set F[43] := 4 15
             15 31
             31 34
             34 30
             30 66
             ;
set F[44] := 4 15
             15 31
             31 67
             ;
set F[45] := 4 15
             15 32
             32 68
             ;
set F[46] := 4 15
             15 32
             32 13
             13 33
             33 69
             ;
set F[47] := 4 15
             15 31
             31 34
             34 70
             ;
set F[48] := 5 28
             28 35
             35 33
             33 13
             13 32
             32 15
             15 1
             1 37
             ;
set F[49] := 5 28
             28 8
             8 44
             ;
set F[50] := 5 28
             28 35
             35 33
             33 13
             13 49
             ;
set F[51] := 5 28
             28 35
             35 33
             33 14
             14 50
             ;
set F[52] := 5 28
             28 35
             35 33
             33 13
             13 32
             32 15
             15 51
             ;
set F[53] := 5 28
             28 35
             35 33
             33 13
             13 32
             32 15
             15 31
             31 34
             34 30
             30 17
             17 53
             ;
set F[54] := 5 28
             28 19
             19 55
             ;
set F[55] := 5 28
             28 35
             35 33
             33 13
             13 32
             32 15
             15 31
             31 34
             34 30
             30 23
             23 59
             ;
set F[56] := 5 28
             28 35
             35 33
             33 13
             13 32
             32 26
             26 29
             29 25
             25 61
             ;
set F[57] := 5 28
             28 35
             35 33
             33 13
             13 32
             32 26
             26 62
             ;
set F[58] := 5 28
             28 64
             ;
set F[59] := 5 28
             28 35
             35 33
             33 13
             13 32
             32 15
             15 31
             31 34
             34 30
             30 66
             ;
set F[60] := 5 28
             28 35
             35 33
             33 13
             13 32
             32 15
             15 31
             31 67
             ;
set F[61] := 5 28
             28 35
             35 33
             33 13
             13 32
             32 68
             ;
set F[62] := 5 28
             28 35
             35 33
             33 69
             ;
set F[63] := 5 28
             28 35
             35 33
             33 13
             13 32
             32 15
             15 31
             31 34
             34 70
             ;
set F[64] := 6 31
             31 15
             15 32
             32 13
             13 49
             ;
set F[65] := 6 31
             31 15
             15 51
             ;
set F[66] := 6 31
             31 15
             15 32
             32 13
             13 33
             33 35
             35 28
             28 64
             ;
set F[67] := 6 31
             31 67
             ;
set F[68] := 7 14
             14 33
             33 35
             35 28
             28 64
             ;
set F[69] := 9 28
             28 35
             35 33
             33 13
             13 49
             ;
set F[70] := 9 28
             28 35
             35 33
             33 13
             13 32
             32 15
             15 51
             ;
set F[71] := 9 28
             28 64
             ;
set F[72] := 9 28
             28 35
             35 33
             33 13
             13 32
             32 15
             15 31
             31 67
             ;
set F[73] := 9 28
             28 35
             35 33
             33 13
             13 32
             32 68
             ;
set F[74] := 9 28
             28 35
             35 33
             33 69
             ;
set F[75] := 10 30
             30 34
             34 31
             31 15
             15 1
             1 37
             ;
set F[76] := 10 30
             30 34
             34 31
             31 15
             15 32
             32 13
             13 33
             33 14
             14 7
             7 43
             ;
set F[77] := 10 30
             30 34
             34 31
             31 15
             15 32
             32 13
             13 33
             33 35
             35 28
             28 8
             8 44
             ;
set F[78] := 10 30
             30 12
             12 48
             ;
set F[79] := 10 30
             30 34
             34 31
             31 15
             15 32
             32 13
             13 49
             ;
set F[80] := 10 30
             30 34
             34 31
             31 15
             15 32
             32 13
             13 33
             33 14
             14 50
             ;
set F[81] := 10 30
             30 34
             34 31
             31 15
             15 51
             ;
set F[82] := 10 30
             30 16
             16 52
             ;
set F[83] := 10 30
             30 17
             17 53
             ;
set F[84] := 10 30
             30 34
             34 31
             31 15
             15 32
             32 13
             13 33
             33 35
             35 28
             28 19
             19 55
             ;
set F[85] := 10 30
             30 34
             34 31
             31 15
             15 32
             32 13
             13 33
             33 35
             35 28
             28 21
             21 57
             ;
set F[86] := 10 30
             30 23
             23 59
             ;
set F[87] := 10 30
             30 34
             34 31
             31 15
             15 32
             32 26
             26 29
             29 25
             25 61
             ;
set F[88] := 10 30
             30 34
             34 31
             31 15
             15 32
             32 26
             26 62
             ;
set F[89] := 10 30
             30 34
             34 31
             31 15
             15 32
             32 13
             13 33
             33 14
             14 27
             27 63
             ;
set F[90] := 10 30
             30 34
             34 31
             31 15
             15 32
             32 13
             13 33
             33 35
             35 28
             28 64
             ;
set F[91] := 10 30
             30 66
             ;
set F[92] := 10 30
             30 34
             34 31
             31 67
             ;
set F[93] := 10 30
             30 34
             34 31
             31 15
             15 32
             32 68
             ;
set F[94] := 10 30
             30 34
             34 31
             31 15
             15 32
             32 13
             13 33
             33 69
             ;
set F[95] := 10 30
             30 34
             34 70
             ;
set F[96] := 11 30
             30 34
             34 31
             31 15
             15 32
             32 13
             13 49
             ;
set F[97] := 11 30
             30 34
             34 31
             31 15
             15 32
             32 13
             13 33
             33 14
             14 50
             ;
set F[98] := 11 30
             30 34
             34 31
             31 15
             15 51
             ;
set F[99] := 11 30
             30 34
             34 31
             31 15
             15 32
             32 26
             26 62
             ;
set F[100] := 11 30
              30 34
              34 31
              31 15
              15 32
              32 13
              13 33
              33 35
              35 28
              28 64
              ;
set F[101] := 11 30
              30 34
              34 31
              31 67
              ;
set F[102] := 11 30
              30 34
              34 31
              31 15
              15 32
              32 68
              ;
set F[103] := 11 30
              30 34
              34 31
              31 15
              15 32
              32 13
              13 33
              33 69
              ;
set F[104] := 11 30
              30 34
              34 70
              ;
set F[105] := 12 30
              30 34
              34 31
              31 15
              15 32
              32 13
              13 49
              ;
set F[106] := 12 30
              30 34
              34 31
              31 15
              15 32
              32 13
              13 33
              33 14
              14 50
              ;
set F[107] := 12 30
              30 34
              34 31
              31 15
              15 51
              ;
set F[108] := 12 30
              30 17
              17 53
              ;
set F[109] := 12 30
              30 34
              34 31
              31 15
              15 32
              32 26
              26 29
              29 25
              25 61
              ;
set F[110] := 12 30
              30 34
              34 31
              31 15
              15 32
              32 26
              26 62
              ;
set F[111] := 12 30
              30 34
              34 31
              31 15
              15 32
              32 13
              13 33
              33 35
              35 28
              28 64
              ;
set F[112] := 12 30
              30 66
              ;
set F[113] := 12 30
              30 34
              34 31
              31 67
              ;
set F[114] := 12 30
              30 34
              34 31
              31 15
              15 32
              32 68
              ;
set F[115] := 12 30
              30 34
              34 31
              31 15
              15 32
              32 13
              13 33
              33 69
              ;
set F[116] := 12 30
              30 34
              34 70
              ;
set F[117] := 13 32
              32 15
              15 1
              1 37
              ;
set F[118] := 13 3
              3 39
              ;
set F[119] := 13 32
              32 15
              15 4
              4 40
              ;
set F[120] := 13 33
              33 14
              14 7
              7 43
              ;
set F[121] := 13 33
              33 35
              35 28
              28 8
              8 44
              ;
set F[122] := 13 32
              32 15
              15 31
              31 34
              34 30
              30 10
              10 46
              ;
set F[123] := 13 32
              32 15
              15 31
              31 34
              34 30
              30 11
              11 47
              ;
set F[124] := 13 32
              32 15
              15 31
              31 34
              34 30
              30 12
              12 48
              ;
set F[125] := 13 33
              33 14
              14 50
              ;
set F[126] := 13 32
              32 15
              15 51
              ;
set F[127] := 13 32
              32 15
              15 31
              31 34
              34 30
              30 16
              16 52
              ;
set F[128] := 13 32
              32 15
              15 31
              31 34
              34 30
              30 17
              17 53
              ;
set F[129] := 13 33
              33 35
              35 28
              28 19
              19 55
              ;
set F[130] := 13 33
              33 35
              35 28
              28 21
              21 57
              ;
set F[131] := 13 32
              32 15
              15 31
              31 34
              34 30
              30 22
              22 58
              ;
set F[132] := 13 32
              32 15
              15 31
              31 34
              34 30
              30 23
              23 59
              ;
set F[133] := 13 32
              32 26
              26 29
              29 24
              24 60
              ;
set F[134] := 13 32
              32 26
              26 29
              29 25
              25 61
              ;
set F[135] := 13 32
              32 26
              26 62
              ;
set F[136] := 13 33
              33 14
              14 27
              27 63
              ;
set F[137] := 13 33
              33 35
              35 28
              28 64
              ;
set F[138] := 13 32
              32 15
              15 31
              31 34
              34 30
              30 66
              ;
set F[139] := 13 32
              32 15
              15 31
              31 67
              ;
set F[140] := 13 32
              32 68
              ;
set F[141] := 13 33
              33 69
              ;
set F[142] := 13 32
              32 15
              15 31
              31 34
              34 70
              ;
set F[143] := 13 33
              33 35
              35 71
              ;
set F[144] := 14 33
              33 13
              13 32
              32 15
              15 1
              1 37
              ;
set F[145] := 14 33
              33 13
              13 3
              3 39
              ;
set F[146] := 14 33
              33 13
              13 32
              32 15
              15 4
              4 40
              ;
set F[147] := 14 7
              7 43
              ;
set F[148] := 14 33
              33 35
              35 28
              28 8
              8 44
              ;
set F[149] := 14 33
              33 13
              13 32
              32 15
              15 31
              31 34
              34 30
              30 10
              10 46
              ;
set F[150] := 14 33
              33 13
              13 32
              32 15
              15 31
              31 34
              34 30
              30 11
              11 47
              ;
set F[151] := 14 33
              33 13
              13 32
              32 15
              15 31
              31 34
              34 30
              30 12
              12 48
              ;
set F[152] := 14 33
              33 13
              13 49
              ;
set F[153] := 14 33
              33 13
              13 32
              32 15
              15 51
              ;
set F[154] := 14 33
              33 13
              13 32
              32 15
              15 31
              31 34
              34 30
              30 16
              16 52
              ;
set F[155] := 14 33
              33 13
              13 32
              32 15
              15 31
              31 34
              34 30
              30 17
              17 53
              ;
set F[156] := 14 33
              33 35
              35 28
              28 19
              19 55
              ;
set F[157] := 14 33
              33 35
              35 28
              28 21
              21 57
              ;
set F[158] := 14 33
              33 13
              13 32
              32 15
              15 31
              31 34
              34 30
              30 22
              22 58
              ;
set F[159] := 14 33
              33 13
              13 32
              32 15
              15 31
              31 34
              34 30
              30 23
              23 59
              ;
set F[160] := 14 33
              33 13
              13 32
              32 26
              26 29
              29 24
              24 60
              ;
set F[161] := 14 33
              33 13
              13 32
              32 26
              26 29
              29 25
              25 61
              ;
set F[162] := 14 33
              33 13
              13 32
              32 26
              26 62
              ;
set F[163] := 14 27
              27 63
              ;
set F[164] := 14 33
              33 35
              35 28
              28 64
              ;
set F[165] := 14 33
              33 13
              13 32
              32 15
              15 31
              31 34
              34 30
              30 66
              ;
set F[166] := 14 33
              33 13
              13 32
              32 15
              15 31
              31 67
              ;
set F[167] := 14 33
              33 13
              13 32
              32 68
              ;
set F[168] := 14 33
              33 69
              ;
set F[169] := 14 33
              33 13
              13 32
              32 15
              15 31
              31 34
              34 70
              ;
set F[170] := 14 33
              33 35
              35 71
              ;
set F[171] := 15 1
              1 37
              ;
set F[172] := 15 32
              32 13
              13 33
              33 14
              14 7
              7 43
              ;
set F[173] := 15 32
              32 13
              13 33
              33 35
